English	English	Synonym	Synonym	Synonym	Synonym	Russian	Russian	Russian	Russian	Russian	Synonym	Synonym	Synonym	Definition	Compare	See_also	See_also	See_also
Advanced Immunization Management						Оптимальное управление иммунопрофилактикой								Учебные модули включающие наиболее современную информацию для руководителей высшего звена с использованием методик интерактивного обучения, доступных в Интернете и на компакт-дисках. Веб-сайт AIM е-Learning: http://aim-e-learning.Stanford.edu/					
Advanced Market Commitments						Предварительные обязательства по будущим закупкам вакцин													
adverse event monitoring						мониторинг побочных проявлений (после иммунизации)													
adverse events following immunization						побочные проявления после иммунизации								Нарушения состояния здоровья, возникшие в период после иммунизации. Требуют тщательного расследования для установления связи с иммунизацией.					
adverse reaction						побочная реакция								Местные или общие клинические проявления реакции организма на введение иммунобиологического препарата (вакцины).					
advocacy						пропаганда и разъяснение								Термин используется в широком смысле и включает пропаганду, распространение сведений и целенаправленную разъяснительную работу.					
advocacy and communication						пропаганда и распространение информации													
Advisory Committee on Immunization						Консультативный комитет по иммунизации								Группа экспертов, разрабатывающая рекомендации в области иммунизации					
Advisory Committee on Immunization Practices						Консультативный комитет по методикам иммунизации								Экспертная группа CDC, США.					
age of infection		age at acquisition of infection	age at infection			возраст пациента в момент инфицирования													
age-sex register						реестр, составленный по возрасту и полу													
age-specific fertility rate						показатель фертильности в отдельных возрастных группах								Число живорожденных за год на 1000 женщин данной возрастной группы.					
age-specific incidence rate						показатель заболеваемости в определенной возрастной группе													
age-specific mortality rate						показатель смертности в определенной возрастной группе													
agent (causative)						возбудитель болезни								Этиологический агент (патоген), вызывающий инфекционный процесс (заболевание или носительство).					
agglutination test						реакция агглютинации								Лабораторный метод.					
aggravated history						отягощенный анамнез								Информация о нарушениях состояния здоровья у реципиента вакцины в прошлом, которые могут способствовать развитию поствакцинальных осложнений.					
aggregated data						сводные данные													
aggregate reporting						сводная отчетность								Суммарные данные (о количестве заболеваний).					
aggregate surveillance						эпиднадзор, основанный на сборе суммарных данных о конкретном заболевании													
airborne infections		aerial infections				воздушно-капельные инфекции													
allergic reaction						аллергическая реакция													
ampoule						ампула													
analytic(al) study						аналитическое исследование								Исследование, в ходе которого проверяют гипотезу о наличии причинно- следственной связи между заболеванием или состоянием здоровья или другой зависимой переменной и действием определенного фактора.					
anaphylactic shock						анафилактический шок								Тяжелая аллергическая реакция организма немедленного типа, иногда отмечающаяся при введении медицинского иммунобиологического препарата.					
animal model						экспериментальная модель на животном													
Annual Progress Report						Годовой отчет о выполнении работы								Документ ежегодно направляемый в Секретариат ГАВИ странами, получающими поддержку по линии ГАВИ.					
annualized non-polio AFP rate						частота случаев ОВП неполиомиелитной этиологии, приведенная к годовому показателю													
antenatal						антенатальный	дородовый												
antenatal clinic						клиника дородового наблюдения													
anthrax vaccine						сибиреязвенная вакцина													
antibody						антитело													
antibody-mediated immunity		humoral immunity				иммунитет, обусловленный антителами					гуморальный иммунитет								
antibody response						гуморальный иммунный ответ								Индуцированное антигеном образование антител.		immune response (иммунная реакция).			
antibody titer						титр антител								Разведение сыворотки крови, в котором можно обнаружить антитела.					
antibodies to HBsAg (anti-HBs)						антитела к поверхностному антигену вируса гепатита В (анти-HBs)													
antibody to hepatitis В core antigen (anti-HBc)						антитела к сердцевинному (“коровому”) антигену вируса гепатита В (анти-НВс)													
antigen						антиген								Чужеродное вещество, которое при введении в организм вызывает специфический иммунный ответ.					
antigen-antibody reaction						реакция антиген-антитело								Взаимодействие антигена и антитела in vivo или in vitro.					
antigen detection						выявление антигена													
antigenic competition						антигенная конкуренция								Иммунологический термин, обозначающий взаимоотношения сходных по химической структуре или родственных антигенов в иммунологических реакциях.					
antigenic shift						антигенный сдвиг					антигенный шифт			Внезапное изменение молекулярной структуры ДНК/РНК микроорганизма, особенно вирусов, приводящая к образованию нового антигенного варианта микроорганизма.					
antiserum		immune serum				иммунная сыворотка					антисыворотка			Содержит антитела к определенному антигену или возбудителю инфекционной болезни, применяется в диагностике и лечении.					
antitoxin						антитоксин								Антитела, продуцируемые организмом, в ответ на введение токсина (анатоксина).					
applied epidemiology						прикладная эпидемиология													
appropriate technology						оптимальная (соответствующая) технология (подход)								Технические приемы, знания, методы, процедуры и оборудование, которые адаптированы к конкретным потребностям на местах.					
arboviruses						арбовирусы													
arithmetic mean						средняя арифметическая (величина)													
aseptic meningitis						асептический менингит								Воспаление оболочек головного мозга, часто вызываемое вирусами.					
assessment						оценка													
attack rate						показатель поражённости								Вариант показателя заболеваемости, применяемый для ограниченной популяции в определенный промежуток времени, например, во время эпидемической вспышки.					
attenuated vaccine (strain)						аттенуированная вакцина (штамм)								Живая вакцина, изготовленная из ослабленного (аттенуированного) штамма возбудителя болезни.					
autism						аутизм													
autoantibodies						аутоантитела	аутоиммунные антитела							Вырабатываются организмом против антигенов собственных тканей.					
autoclave						автоклав								Аппарат для стерилизации медицинских инструментов, материалов или отходов с помощью водяного пара под давлением.		steam autoclaving (стерилизация паром).			
auto-disable syringe	AD syringe	autodestruct syringe (obs.)				самоблокирующийся (“саморазрушающийся”) шприц	СБ-шприц							Шприц, конструкция которого приводит его в негодность после первого использования, что делает его повторное применение невозможным.					
auto-reconstitution						автоматизированное разведение вакцины								В настоящее время разрабатывается технология использования лиофилизированной вакцины и растворителя, которая позволит совместить этапы разведения вакцины и ее введения.					
Bacillus Calmette-Guerin						Бацилла Кальметта-Герена								Аттенуированный штамм Mycobacterium bovis, используемый для производства вакцины против туберкулеза.		BCG vaccine (вакцина БЦЖ).			
bacterial meningitis						бактериальный менингит								Воспаление оболочек головного и спинного мозга, развивающееся в результате бактериальной инфекции.					
bacteremia						бактериемия								Наличие бактерий в циркулирующей крови.					
bacteriolysins						бактериолизины								Антитела, вызывающие лизис бактерий в присутствии комплемента.					
bacteriophage						бактериофаг	вирус бактерий	фаг											
bacterium						бактерия													
bar chart						столбиковая диаграмма								Графическое отображение переменных в виде столбцов					
Basic Support for Institutionalizing Child Survival						Оказание базовой поддержки в борьбе за выживание детей								Неправительственная организация.					
batch (lot)						серия (партия)								Определенное количество товара (препаратов, продуктов, материалов), произведенных в одном или нескольких технологических процессах так, что их можно считать однородными в рамках установленных пределов.		product lot (серия препарата).			
batch record						производственный протокол препарата								Все документы, касающиеся производства и контроля качества одной серии препарата.					
BCG vaccine						Вакцина БЦЖ													
bias						систематическая ошибка								Отклонение от истины результатов или выводов, или процесс, который ведет к такой ошибке.					
biological laboratory		biomedical laboratory				биологическая лаборатория													
biologicals						иммуно-биологические препараты													
bioreactor						биореактор					ферментер			Устройство, в котором при заданных условиях протекают биохимические реакции с участием живых микроорганизмов, клеточных экстрактов или ферментов.					
biosafety		biological safety				биологическая безопасность								Комплекс мер по защите от внутрилабораторного (в более широком смысле -внутрибольничного) заражения персонала и контаминации диагностического материала.		biosecurity (биозащищенность).			
biosafety cabinet						боксы микробиологической безопасности								Специальное ламинарное укрытие, бокс. Защитное устройство для обеспечения физического барьера между оператором и рабочим материалом. Служит для создания беспылевой воздушной среды.		laminar flow hoods (ламинарные шкафы (и боксы)).			
biosafety cabinet class I						бокс микробиологической безопасности I класса								Защитный шкаф с ламинарным потоком воздуха, обеспечивающий защиту диагностического материала от контаминации в процессе работы.		laminar flow hoods (ламинарные шкафы (и боксы)).			
biosafety cabinet class II						бокс микробиологической безопасности II класса								Защитный шкаф с ламинарным потоком воздуха, обеспечивающий одновременную защиту оператора от заражения и диагностического материала от контаминации в процессе работы.		laminar flow hoods (ламинарные шкафы (и боксы)).			
biosafety cabinet class III						бокс микробиологической безопасности III класса								Защитный шкаф, обеспечивает самый высокий уровень персональной защиты.		Laminar flow hoods (ламинарные шкафы (и боксы)).			
biosafety level						уровень биобезопасности (лабораторий)										laboratory safety (лабораторная безопасность).			
biosecurity						биозащищённость					биозащита	биобезопасность			biosafety (биобезопасность).				
birth cohort						когорта новорожденных								Совокупность лиц, рожденных за определенный период времени.					
birth dose						доза вакцины вводимая ребенку при рождении								в первые часы или дни жизни					
birth rate						показатель рождаемости								Отношение числа родов за определенный период времени к общей численности населения.	Death rate (показатель смертности).				
blind method		masked method				слепой метод								Способ организации исследования.					
blocking antibodies						блокирующие антитела								Антитела, препятствующие активности или других антител.					
blood-borne infection						инфекция, передаваемая через кровь													
booster dose		booster shot				бустерная доза								Дополнительная доза вакцины, вводимая после первичного курса иммунизации для повышения иммунного ответа.					
booster immunization						ревакцинация	бустерная иммунизация												
bovine serum albumin						бычий сывороточный альбумин													
break-seal ampoule						ампула с (легко) отламываемым кончиком													
breastfeeding woman						кормящая грудью женщина													
bridge financing						временное (промежуточное) финансирование								Один из принципов финансирования, используемых ГАВИ .					
buffer stock						резервный (буферный) запас													
bulk product (vaccine)						продукт (вакцина) предназначенный для разлива и упаковки								Продукт, прошедший все стадии производственного процесса, за исключением розлива и упаковки.					
burden of disease		disease burden				бремя болезни										environmental burden of disease (экологическое бремя болезни)	global burden of disease (глобальное бремя болезни).		
baseline data						исходные (отправные) данные													
benefit cost ratio						соотношение цена - выгода													
candidate vaccine						вакцина-кандидат								Вакцинный препарат на стадии разработки					
capacity building						наращивание (укрепление) потенциала													
carrier						носитель (возбудителя болезни)													
case						случай (заболевания)													
case-based data		line-listed data				поименные данные													
case-based surveillance						эпиднадзор, основанный на индивидуальных данных													
case-control study						исследование случай-контроль								Вид аналитического исследования, базирующегося на сравнении двух схожих групп с наличием случаев изучаемого явления и с отсутствием такового (контроль).					
case definition						определение случая (заболевания)								Набор стандартных критериев для решения вопроса о наличии определенной болезни, на основе клинических и/или лабораторных данных.		standard case definition			
case detection						выявление случая (заболевания)													
case-fatality rate						показатель летальности								Выраженная в процентах доля умерших лиц среди заболевших.					
case history		case clinical history				анамнез	история болезни	описание клинического случая								case record (история болезни).			
case investigation form						карта расследования случая заболевания	карта эпидобследования												
case management						ведение случая заболевания (больного)													
case notification						сообщение о зарегистрированном случае													
case record		case clinical record				история болезни	карта больного									case history (анамнез).			
catch-up immunization (campaigns)						кампании наверстывающей иммунизации								Прививочные кампании для иммунизации ранее непривитых или неполностью привитых детей.					
causal link						причинная связь													
causative agent (of disease)						возбудитель (болезни)													
cause of disease						причина болезни													
cause-effect relations						причинно-следственные связи													
cause-specific mortality rate						показатель смертности, вызванной конкретной причиной								Числителем является число смертей, вызванных конкретной причиной (болезнью) в течение определенного промежутка времени, а знаменателем - численность популяции в середине временного интервала.					
cell culture						культура клеток													
cell lines						клеточные линии								Культура клеток, выращиваемая in vitro.					
cell engineering						клеточная инженерия								Метод конструирования клеток нового типа путем их гибридизации.					
cell marker						маркер клетки								Биомолекула клетки, выявляемая с помощью моноклональных антител.					
cell membrane						клеточная мембрана								Структурный элемент клетки.					
cell wall						клеточная стенка								Структура, обеспечивающая жесткость структуры клетки и ее механическую прочность, является осмотическим барьером.					
cellular immunity		cell-bound or cell-mediated immunity				клеточный иммунитет								Разновидность иммунного ответа при ведущей роли активированных (сенсибилизированных) Т-лимфоцитов.					
census						перепись населения													
center of state sanitary and epidemiological surveillance						центр государственного санитарно-эпидемиологического надзора													
centers of hygiene and epidemiology						центры гигиены и эпидемиологии													
center for disease control and prevention						центр по борьбе с болезнями и их профилактике													
centrifuge						центрифуга								разновидность лабораторного оборудования					
cerebrospinal fluid						спинномозговая жидкость	цереброспинальная жидкость												
cerebrospinal meningitis						цереброспинальный менингит													
certificate of compliance						сертификат соответствия								Документ, подтверждающий, что свойства препарата соответствуют указанным в нормативной документации требованиям.					
certificate of quality						паспорт качества	сертификат качества												
cfc-free equipment						бесфреоновое холодильное оборудование													
chain of infection						механизм передачи инфекции													
check list						контрольный лист	контрольный вопросник												
chemoprophylaxis						химиопрофилактика (болезней)								Предупреждение развития болезни у лиц, которые входят в группу риска инфицирования, при помощи специфических лекарственных средств.					
chickenpox		varicella				ветряная оспа													
child-bearing aged women		women of childbearing age				женщины детородного возраста													
childhood immunization						иммунизация (вакцинопрофилактика) детей													
children's vaccine initiative						инициатива в области детских вакцин													
cholera vaccine						холерная вакцина													
chronic HBV infection						хроническая инфекция ВГВ								Персистирующая инфекция, вызванная ВГВ.					
circulating immune complex						циркулирующий иммунный комплекс													
clinical follow-up examination						последующее клиническое обследование								Например, последующее обследование случая ОВП через 60 дней после начала паралича.	follow-up visit (последующее контрольное посещение/визит).				
clinical manifestations						клинические проявления													
clinical trial						клиническое испытание								Проводятся в клинических условиях в целях оценки безопасности и эффективности препарата, в том числе и вакцин.					
clone		gene clone				клон								Совокупность клеток или одноклеточных организмов, которые произошли от одной исходной клетки в результате вегетативного размножения. Популяция генетически идентичных клеток, происходящих от одной родительской клетки.					
close monitoring						тщательно проводимый мониторинг													
cluster						кластер													
cluster sampling						кластерная выборка								Метод случайной выборки, при котором каждая отобранная единица (кластер) представляет собой группу лиц (все жители городского квартала, семья и др.).					
cohort						когорта								Четко определенная группа лиц, изначально объединенных каким-либо общим признаком					
cohort study						когортное исследование								Исследование с последующим наблюдением за когортой в течение длительного времени.					
coinfection						коинфекция					сочетанная (ассоциированная, смешанная) инфекция	микст-инфекция							
cold-adapted strain						холодовой штамм													
cold box						термоконтейнер								Ёмкость, применяемая для транспортирования и ограниченного по времени хранения иммунобиологических препаратов в заданном температурном режиме.		vaccine-carrier (сумка-холодильник).			
cold chain						холодовая цепь								Бесперебойно функционирующая система, обеспечивающая оптимальный температурный режим хранения и транспортировки вакцин и других иммунобиологических препаратов на всех этапах пути их следования от производителя до вакцинируемого.		cold chain system (система холодовой цепи).			
cold chain monitor card		monitor mark indicator				контрольная карточка-индикатор								Устройство, контролирующее температурный режим транспортирования и хранения вакцин. Термоиндикатор ККИ необратимо фиксирует любой суммарный подъем температуры выше +10°С.					
cold chain monitor and Freeze Watch						комбинированная карточка-индикатор и индикатор замораживания Freeze Watch								Комбинированное использование контрольной карточки-индикатора и индикатора замораживания "Freeze Watch					
cold chain system						система холодовой цепи										cold chain (холодовая цепь).			
cold room						холодильная комната								Помещение, внутри которого поддерживается оптимальная для хранения вакцин температура, оборудованное системой круглосуточного мониторинга температурного режима, системой сигнализации и резервным генератором.					
Cold store						Склад-холодильник													
Collection of specimen for viral culture						Взятие пробы для последующего выделения вирусов													
collection of stool samples						сбор проб стула													
combined vaccine		combination vaccine				комбинированная (ассоциированная, поливалентная) вакцина								Вакцинный препарат, который содержит несколько антигенов, обеспечивающих формирование иммунитета против нескольких заболеваний одновременно.		vaccines (вакцины).			
commitment						обязательство	приверженность	поддержка						Официально данное обещание, обычно закрепляемое в письменной форме, предусматривающее безусловное выполнение (например, ранее принятого и непогашенного обязательства (continuing commitment)), а также поддержку принципов (commitment to the principles).					
government commitment						правительственные обязательства (поддержка)								Приверженность, политическая воля правительства, направленная на поддержку комплекса мер по решению какой-либо проблемы здравоохранения.					
political commitment						политические обязательства (поддержка).													
Committee on Infectious Diseases						Комитет по инфекционным болезням								Экспертный орган в США.					
common source outbreak						эпидемическая вспышка, вызванная возбудителем от (из) одного источника													
Commonwealth of Independent States						Содружество независимых государств										Newly Independent States (Новые независимые государства).			
communicable						заразный	инфекционный												
communicable disease		infectious disease				инфекционная болезнь										transmission of infection (передача инфекции).			
communication						передача (распространение) информации								Процесс информирования населения.					
communication plan						план информационной работы													
community-based surveillance						эпиднадзор на уровне общины	эпидемиологический надзор, осуществляемый при участии населения							Форма эпиднадзора, при котором выявление случаев заболевания проводится силами местного населения или общественных лидеров, прошедших базовый инструктаж.					
community health worker		basic health worker				медработник низшего звена (на уровне общины)	медико-санитарный работник							Профессионально подготовленный медико-санитарный работник, который обеспечивает первый контакт между населением и системой здравоохранения.					
community immunity						коллективный иммунитет										herd immunity (коллективный иммунитет).			
community sensitization						проведение разъяснительной работы среди местного населения													
complement fixation test		CF test				реакция связывания комплемента								Лабораторный метод.					
Comprehensice Multi-Year Plan						Комплексный многолетний план													
complications						осложнения													
concomitant infection		concurrent infection				сопутствующая инфекция													
confidence interval						доверительный интервал	интервал достоверности												
confidence limit						граница достоверности	граница доверительного интервала							Минимальное и максимальное значения доверительного интервала или интервала достоверности.					
confluent						сливная сыпь													
congenital rubella infection						врожденная краснуха								Внутриутробное инфицирование плода, которое может приводить к выкидышу, внутриутробной смерти или рождению ребенка с синдромом врожденной краснухи.					
congenital rubella syndrome						синдром врожденной краснухи								Внутриутробное инфицирование плода приводящее к рождению ребенка с врожденными дефектами (глухота, слепота, неврологические расстройства, порок развития сердца и др.).					
conjugate						конъюгат								Соединение двух компонентов, обычно белка и полисахарида, повышающее способность полисахарида вызывать иммунитет.					
conjugated vaccine						конъюгированная вакцина								Вакцина, иммуногенность которой повышена путем присоединения полисахаридов капсулы бактериальной клетки к белковым носителям (carrier proteins).		vaccines (вакцины).			
consumer profile						социально-демографическая характеристика потребителей								Совокупность социально- психологических и демографических особенностей целевой группы населения.					
contact case		contact				контактный (вторичный) случай (инфекционного заболевания)	лицо, контактировавшее с источником инфекции	контактное лицо	контакт							acquaintance network (группа лиц, контактировавших с источником возбудителя инфекции).			
contagion						контагион								“Заразное начало”, возбудитель инфекционной болезни.					
contagious						заразный	контагиозный												
contagious period		communicable period				заразный (контагиозный) период								Период, в течение которого возбудитель инфекции может прямо или опосредованно передаваться от одного человека или животного к другому человеку или животному.					
contagiousness						контагиозность								Свойство инфекционной болезни передаваться от больных людей и животных здоровым.					
containment						сдерживание	контаинмент												
contamination						инфицирование	контаминация												
continuous temperature recorder						термограф								Устройство для непрерывной регистрации температуры.					
contraindications						противопоказания (к иммунизации)								Перечень состояний здоровья, при которых проведение прививки временно или постоянно не показано. Следует различать истинные и ложные противопоказания (false contraindications).					
control group						контрольная группа								В исследовании случай-контроль группа лиц, у которых исследуемое состояние отсутствует или которая не подвергалась воздействию какого-либо фактора.					
